"","Year","Country","avg_f0"
"1",1965,"Finland",218.94
"2",1965,"Holland",217.16
"3",1965,"Sweden",217.724
"4",1965,"Thailand",230.265714285714
"5",1965,"USA",189.323333333333
"6",1969,"Australia",283.643333333333
"7",1969,"Finland",230.77
"8",1969,"Israel",213.04
"9",1969,"Japan",304.25
"10",1969,"Philippines",248.88
"11",1973,"Israel",236.263333333333
"12",1973,"Norway",244.753333333333
"13",1973,"Philippines",267.98
"14",1973,"Spain",248.08
"15",1973,"USA",219.65
"16",1977,"Austria",240.305
"17",1977,"Colombia",270.76
"18",1977,"Germany",237.95
"19",1977,"Scotland",252.82
"20",1977,"Trinidad and Tobago",226.2
"21",1980,"New Zealand",210.26
"22",1980,"Philippines",244.57
"23",1980,"Scotland",219.44
"24",1980,"Sweden",220.3
"25",1980,"USA",240.57
"26",1984,"Colombia",245.35
"27",1984,"Philippines",235.39
"28",1984,"South Africa",253.29
"29",1984,"Sweden",210.44
"30",1984,"Venezuela",251.8
"31",1990,"Bolivia",226.54
"32",1990,"Chile",235.56
"33",1990,"Colombia",229.14
"34",1990,"Mexico",223.24
"35",1990,"Norway",222.82
"36",1990,"USA",183.86
"37",1992,"Belgium",243.3
"38",1992,"Colombia",213.05
"39",1992,"India",237.82
"40",1992,"Namibia",227.56
"41",1992,"Netherlands",209.7
"42",1992,"Venezuela",243.46
"43",1998,"Colombia",211.87
"44",1998,"Puerto Rico",263.155
"45",1998,"Trinidad and Tobago",251.98
"46",1998,"USA",213.493333333333
"47",1998,"Venezuela",258.32
"48",2003,"Dominican Republic",206.17
"49",2003,"Japan",287.393333333333
"50",2003,"Serbia & Montenegro",226.1
"51",2003,"South Africa",244.95
"52",2003,"Venezuela",262.315
"53",2008,"Colombia",293.686666666667
"54",2008,"Dominican Republic",276.538333333333
"55",2008,"Mexico",305.88
"56",2008,"Russia",211.12
"57",2008,"Venezuela",265.22
"58",2013,"Brazil",216.586
"59",2013,"Ecuador",268.024
"60",2013,"Philippines",253.52
"61",2013,"Spain",228.7225
"62",2013,"Venezuela",245.4475
"63",2018,"Philippines",279.84
"64",2018,"Puerto Rico",248.31
"65",2018,"South Africa",263.93
"66",2018,"Venezuela",258.4175
"67",2018,"Vietnam",282.703333333333
"68",2023,"Australia",217.64
"69",2023,"Colombia",236.77
"70",2023,"Nicaragua",219.926666666667
"71",2023,"Puerto Rico",225.03
"72",2023,"Thailand",249.73
