,Pakistan_df1,Nepal_df1,South Africa_df1,Poland_df1,Mali_df1,Togo_df1,Singapore_df1,Botswana_df1,Japan_df1,Greece_df1,El Salvador_df1,Turkey_df1,United Kingdom_df1,Mozambique_df1,Austria_df1,Niger_df1,Uruguay_df1,Senegal_df1,France_df1,Malaysia_df1,Bahrain_df1,Cameroon_df1,Italy_df1,China_df1,Myanmar_df1,Cuba_df1,New Zealand_df1,Haiti_df1,Paraguay_df1,Canada_df1,Kuwait_df1,Uganda_df1,Egypt_df1,Congo_df1,Israel_df1,Spain_df1,Honduras_df1,Portugal_df1,Norway_df1,Libya_df1,Benin_df1,Morocco_df1,Brazil_df1,Mauritania_df1,Nicaragua_df1,Switzerland_df1,Peru_df1,Burundi_df1,Dominican Republic_df1,Colombia_df1,Argentina_df1,Hungary_df1,Guatemala_df1,Jordan_df1,Central African Republic_df1,Iraq_df1,Netherlands_df1,Mexico_df1,Sierra Leone_df1,Ecuador_df1,Yemen_df1,Zimbabwe_df1,India_df1,Bulgaria_df1,Sri Lanka_df1,Qatar_df1,Tunisia_df1,Philippines_df1,Afghanistan_df1,Jamaica_df1,Chile_df1,United States_df1,Liberia_df1,Trinidad and Tobago_df1,Bangladesh_df1,Denmark_df1,Ireland_df1,Rwanda_df1,Costa Rica_df1,Germany_df1,Lesotho_df1,United Arab Emirates_df1,Namibia_df1,Kenya_df1,Panama_df1,Australia_df1,Finland_df1,Mauritius_df1,Malawi_df1,Sweden_df1,Algeria_df1,Zambia_df1,Thailand_df1,Indonesia_df1,Mongolia_df1,Belgium_df1,Saudi Arabia_df1,Cambodia_df1,Albania_df1,Ghana_df1,Romania_df1,Pakistan_df2,Nepal_df2,South Africa_df2,Poland_df2,Mali_df2,Togo_df2,Singapore_df2,Botswana_df2,Japan_df2,Greece_df2,El Salvador_df2,Turkey_df2,United Kingdom_df2,Mozambique_df2,Austria_df2,Niger_df2,Uruguay_df2,Senegal_df2,France_df2,Malaysia_df2,Bahrain_df2,Cameroon_df2,Italy_df2,China_df2,Myanmar_df2,Cuba_df2,New Zealand_df2,Haiti_df2,Paraguay_df2,Canada_df2,Kuwait_df2,Uganda_df2,Egypt_df2,Congo_df2,Israel_df2,Spain_df2,Honduras_df2,Portugal_df2,Norway_df2,Libya_df2,Benin_df2,Morocco_df2,Brazil_df2,Mauritania_df2,Nicaragua_df2,Switzerland_df2,Peru_df2,Burundi_df2,Dominican Republic_df2,Colombia_df2,Argentina_df2,Hungary_df2,Guatemala_df2,Jordan_df2,Central African Republic_df2,Iraq_df2,Netherlands_df2,Mexico_df2,Sierra Leone_df2,Ecuador_df2,Yemen_df2,Zimbabwe_df2,India_df2,Bulgaria_df2,Sri Lanka_df2,Qatar_df2,Tunisia_df2,Philippines_df2,Afghanistan_df2,Jamaica_df2,Chile_df2,United States_df2,Liberia_df2,Trinidad and Tobago_df2,Bangladesh_df2,Denmark_df2,Ireland_df2,Rwanda_df2,Costa Rica_df2,Germany_df2,Lesotho_df2,United Arab Emirates_df2,Namibia_df2,Kenya_df2,Panama_df2,Australia_df2,Finland_df2,Mauritius_df2,Malawi_df2,Sweden_df2,Algeria_df2,Zambia_df2,Thailand_df2,Indonesia_df2,Mongolia_df2,Belgium_df2,Saudi Arabia_df2,Cambodia_df2,Albania_df2,Ghana_df2,Romania_df2
1998,54.21085,59.60855,78.72208,75.34185,60.66927,58.26656,66.11907,72.18389,69.29388,65.92499,71.54369,58.20468,75.237,71.23956,77.1687,52.57098,70.77054,61.84073,74.15221,66.29215,61.14843,56.35357,69.52836,72.52798,65.40755,77.77839,79.09387,63.92838,66.63765,76.53527,60.18121,64.43579,55.50203,58.3286,70.64058,74.23378,67.72264,71.5353,85.40313,59.99051,65.1819,58.93141,68.23812,56.1387,61.86906,77.47644,66.84334,68.64648,69.63343,72.98632,80.05666,71.92232,64.11643,57.71458,63.66219,56.40669,82.22697,70.46404,55.9585,73.71569,52.50537,73.16966,61.57276,73.06946,64.57335,61.95632,60.69238,70.36316,57.88709,72.68282,67.75269,74.48528,55.94796,70.55976,61.86701,85.31038,71.60448,69.04478,71.43197,81.03503,69.37289,63.27423,73.78764,65.03035,68.62055,76.45704,84.60292,66.32419,66.29715,90.09296,57.3368,61.07876,69.7706,67.40313,71.32675,71.60982,58.42701,72.81589,63.36573,63.54257,70.40682,775.0,697.0,461.0,202.0,673.0,726.0,239.0,556.0,161.0,244.0,511.0,593.0,0.24,614.0,151.0,794.0,414.0,669.0,186.0,328.0,,698.0,182.0,278.0,,386.0,0.2,,576.0,162.0,571.0,648.0,0.63,624.0,235.0,142.0,543.0,221.0,103.0,,672.0,711.0,518.0,758.0,602.0,105.0,526.0,623.0,518.0,508.0,415.0,304.0,573.0,604.0,739.0,676.0,92.0,462.0,,505.0,812.0,596.0,678.0,326.0,447.0,,447.0,493.0,,443.0,446.0,0.28,,405.0,695.0,79.0,203.0,591.0,0.43,136.0,582.0,609.0,548.0,693.0,524.0,169.0,86.0,476.0,704.0,0.06,624.0,646.0,427.0,557.0,471.0,157.0,,629.0,,614.0,455.0
2000,53.94067,63.73587,81.221,73.96784,58.44652,59.93727,67.25403,72.65705,70.42461,68.35343,66.67872,63.99617,75.64237,69.74396,76.67154,51.18,73.39632,64.89748,73.63257,67.84842,62.33653,61.67019,69.87971,70.6441,70.36763,74.15114,79.20911,62.71746,67.22012,77.3259,63.85499,69.7027,59.21731,65.97215,73.79046,78.09762,67.3993,76.17662,85.27417,64.59278,63.02411,58.37523,69.25881,59.3662,62.72371,73.72081,70.73889,70.43742,69.72047,72.84904,76.70073,71.74,64.16489,59.08016,64.16601,58.75591,83.164,69.28069,59.72102,72.44896,53.68692,67.85928,56.96444,73.28194,65.99242,63.29678,64.69986,71.43682,50.86462,73.50055,69.01278,75.00538,58.44411,70.53445,64.54128,85.46278,71.66739,77.67402,71.27943,80.58768,67.78178,64.48317,78.49195,64.20127,68.25239,77.97314,86.01,63.24443,67.16999,89.57758,57.55501,66.27287,70.06313,67.06226,74.2372,77.15064,60.46809,70.19067,65.9657,68.46402,73.06712,764.0,663.0,459.0,194.0,0.67,666.0,264.0,517.0,147.0,205.0,529.0,553.0,0.21,0.6,149.0,792.0,381.0,659.0,195.0,289.0,,693.0,186.0,275.0,,369.0,188.0,,553.0,0.15,0.56,0.64,617.0,0.62,193.0,129.0,534.0,195.0,0.1,,673.0,0.7,507.0,744.0,592.0,103.0,518.0,616.0,504.0,497.0,413.0,291.0,584.0,593.0,0.71,654.0,0.1,0.46,691.0,505.0,805.0,625.0,664.0,322.0,462.0,,394.0,497.0,,434.0,429.0,275.0,685.0,0.4,689.0,75.0,202.0,563.0,427.0,133.0,585.0,605.0,542.0,0.69,513.0,151.0,84.0,486.0,681.0,0.06,598.0,648.0,406.0,0.57,435.0,134.0,,602.0,319.0,604.0,434.0
2001,58.63761,64.79889,79.23903,77.33859,56.95207,58.8684,72.49295,73.9964,69.32985,68.88957,70.17892,59.17289,76.34711,70.91779,82.2211,52.40915,73.3089,65.85408,72.0663,68.05868,58.10905,63.57194,69.23877,69.17085,67.6073,74.99475,81.1792,62.02718,64.03884,76.81443,60.42295,70.20252,55.72646,66.6878,72.58839,78.39181,64.32044,75.34441,84.24796,63.44872,67.28808,57.57994,70.88992,59.20249,66.93923,75.05036,72.74294,72.47797,69.87048,70.89176,79.98992,72.61212,64.73184,60.86087,63.134,55.62523,84.36427,71.6667,55.63699,73.43528,56.13346,67.68346,60.61009,78.36882,65.7029,62.96478,66.18353,72.23593,54.69091,75.09793,69.26665,75.96822,60.67078,69.82253,58.33685,84.53261,72.12662,76.18942,71.97712,81.52268,68.14172,62.50011,77.71985,63.30368,67.65477,79.19502,84.92157,63.46448,69.65008,90.16086,56.74859,62.02205,72.9019,65.95965,74.51255,78.96806,58.17194,69.58085,66.8099,65.34948,73.4519,0.76,657.0,461.0,158.0,666.0,666.0,178.0,517.0,149.0,216.0,526.0,548.0,212.0,597.0,147.0,0.79,376.0,648.0,184.0,298.0,,0.69,189.0,271.0,,363.0,178.0,597.0,549.0,145.0,557.0,0.62,603.0,622.0,186.0,134.0,531.0,187.0,95.0,,671.0,706.0,496.0,743.0,587.0,95.0,478.0,612.0,501.0,495.0,412.0,0.28,0.58,572.0,0.71,646.0,101.0,461.0,0.69,502.0,803.0,626.0,0.66,255.0,0.46,,385.0,499.0,,436.0,0.43,271.0,685.0,392.0,685.0,71.0,202.0,0.56,407.0,129.0,588.0,602.0,539.0,0.69,508.0,0.15,89.0,477.0,679.0,56.0,0.59,642.0,383.0,571.0,425.0,137.0,,599.0,282.0,597.0,388.0
1993,51.59505,60.86296,66.97311,73.35046,55.14495,60.52249,66.90098,71.32572,69.04422,65.46568,68.60732,58.18878,72.90985,61.58854,74.34798,54.09602,69.89007,63.44631,71.44698,63.89022,63.24062,63.28959,68.5924,69.95314,63.0234,70.33159,75.50457,61.29892,66.25194,75.81992,60.88914,63.31155,56.57979,60.38854,70.51192,71.54909,65.33934,71.37332,86.99114,57.08072,63.0438,57.62711,68.93704,54.45655,64.68283,72.2212,65.07381,62.78642,66.40858,69.20927,68.65306,74.60361,61.74721,61.4118,62.91452,60.49921,75.29704,67.25027,57.55394,65.53461,55.5042,66.79843,58.09092,74.65377,63.33548,61.50102,58.41095,68.47013,56.87507,72.50526,67.39955,73.09391,56.90466,72.1355,58.07798,83.72568,69.73362,70.20205,67.59793,75.07124,69.46279,60.31826,69.20136,62.04377,67.28007,72.08934,86.19706,63.90731,64.57613,85.02061,61.49272,61.24135,69.24566,67.10425,67.60461,68.07148,57.58394,72.77993,66.81788,64.58243,69.53926,786.0,717.0,489.0,252.0,673.0,735.0,238.0,568.0,0.16,277.0,528.0,621.0,244.0,622.0,195.0,795.0,435.0,673.0,0.21,0.36,,704.0,206.0,,,0.43,223.0,,599.0,185.0,587.0,658.0,646.0,,248.0,162.0,,239.0,122.0,,688.0,731.0,543.0,802.0,626.0,0.12,0.56,,568.0,525.0,0.43,325.0,592.0,0.65,747.0,0.71,113.0,489.0,,603.0,,596.0,706.0,353.0,474.0,,532.0,513.0,,0.47,493.0,294.0,,434.0,716.0,91.0,0.2,603.0,467.0,152.0,585.0,632.0,546.0,708.0,526.0,181.0,95.0,506.0,711.0,0.09,689.0,651.0,429.0,581.0,508.0,168.0,,675.0,,0.63,489.0
1996,52.63741,60.25504,78.82984,74.08653,56.63285,58.31367,65.98692,72.27825,69.72079,67.27041,68.63439,59.98984,72.17793,70.08494,74.04729,48.85297,69.888,60.71771,72.60592,66.51289,60.51753,62.92101,70.4815,69.97669,69.7147,74.29265,79.86587,66.34448,63.0188,75.40285,59.79549,67.32175,54.2396,59.81769,71.2416,74.88144,66.42317,73.28139,86.87252,61.86466,69.66943,56.22228,70.56353,57.08779,63.58637,75.9993,69.58699,64.52065,67.20044,70.51343,73.89703,71.45745,63.83237,56.64018,61.87841,59.07444,81.09427,70.05837,56.02206,66.24825,54.18165,70.4748,58.953,72.73435,63.07811,61.65634,59.12094,69.76491,55.76369,72.13236,66.65502,74.50249,57.98021,70.6735,61.49845,82.10718,72.79117,68.40563,67.74485,78.69902,66.98679,61.78844,75.28493,61.03171,67.48695,74.04292,83.61974,66.37527,63.89504,89.12159,58.02132,65.75204,71.09974,65.08191,73.4786,70.42109,57.75839,72.26777,68.22781,65.88093,70.71433,779.0,705.0,472.0,217.0,671.0,728.0,237.0,558.0,155.0,254.0,526.0,0.6,237.0,0.62,163.0,796.0,425.0,671.0,189.0,343.0,,701.0,191.0,,,408.0,0.22,,583.0,176.0,592.0,654.0,633.0,,0.24,141.0,,223.0,0.11,,677.0,719.0,529.0,798.0,612.0,107.0,538.0,,0.55,513.0,422.0,0.3,571.0,637.0,742.0,693.0,97.0,477.0,,592.0,,593.0,694.0,336.0,468.0,,485.0,499.0,,461.0,476.0,291.0,,0.41,702.0,87.0,195.0,597.0,465.0,0.14,583.0,624.0,546.0,704.0,516.0,174.0,97.0,474.0,706.0,67.0,662.0,645.0,427.0,566.0,486.0,0.16,,0.64,,0.62,469.0
2003,62.66456,60.53717,81.74702,76.89569,57.16884,59.09013,72.8452,77.13788,70.21317,68.18909,68.44802,58.06092,75.85828,73.14222,81.04241,52.01567,73.53097,67.08831,72.80002,67.01385,61.01134,64.49582,69.01646,71.85576,67.15685,80.97717,80.53664,61.2254,67.06139,78.04537,57.9994,71.3406,57.73213,61.98322,73.74238,77.68134,64.19922,76.12661,86.18466,58.72488,62.85792,63.14051,71.22063,60.45485,68.03781,77.24516,72.67749,71.30745,71.28186,71.55718,77.89756,73.72081,61.00116,61.59014,60.38398,55.08718,84.34095,71.28476,64.88712,73.43101,57.95786,70.73864,60.21336,79.15587,63.38919,61.10532,62.97236,72.65345,59.2064,73.04612,69.91455,74.72871,56.42526,72.15052,54.69856,85.09374,73.27089,90.18131,79.45829,82.05596,70.49843,60.53057,78.00163,66.42829,68.64155,78.16832,86.85161,64.06813,67.35904,92.61687,61.14203,63.28403,72.71809,65.27754,73.2171,80.92169,58.01445,72.21324,65.3031,68.51231,69.62835,651.0,648.0,463.0,156.0,668.0,644.0,153.0,512.0,153.0,214.0,502.0,527.0,208.0,593.0,131.0,787.0,365.0,638.0,171.0,278.0,346.0,664.0,179.0,263.0,,338.0,183.0,594.0,537.0,136.0,555.0,603.0,583.0,627.0,174.0,132.0,551.0,0.18,0.08,,667.0,575.0,474.0,725.0,538.0,84.0,465.0,597.0,494.0,494.0,385.0,261.0,575.0,517.0,709.0,0.67,85.0,0.44,667.0,489.0,822.0,629.0,647.0,242.0,456.0,,363.0,473.0,,0.44,395.0,262.0,682.0,373.0,737.0,58.0,193.0,513.0,364.0,114.0,574.0,597.0,531.0,655.0,509.0,0.14,88.0,477.0,674.0,49.0,557.0,626.0,395.0,567.0,385.0,109.0,0.69,0.58,305.0,587.0,379.0
2002,60.13338,59.69592,80.94862,77.11163,57.83839,62.85862,70.93413,74.45617,68.04153,68.51321,69.26126,58.66181,74.12067,74.32546,80.94614,51.82636,73.02785,67.60387,74.51372,68.11404,60.49052,59.93314,68.5662,69.36181,70.24386,76.45194,80.8018,61.80145,64.75129,77.77439,58.46153,69.98986,57.24527,60.92357,72.7278,77.86971,66.98928,77.24658,85.58637,59.09789,64.20215,62.18784,71.26836,60.37495,68.57489,76.41667,71.62176,70.63721,72.09162,73.3475,78.60498,72.51462,60.29775,60.05996,61.85182,56.39674,83.57824,69.7622,59.95226,72.7633,56.21492,67.41531,57.37386,79.74937,66.22031,59.86009,62.9191,72.7258,60.16955,72.69443,69.56904,75.00117,55.41527,73.20814,53.91543,85.34151,73.15827,75.73396,80.29048,81.29623,71.24411,60.27535,78.9727,68.17135,69.46083,78.65244,86.24084,63.22837,66.59171,92.20303,61.92719,64.6887,74.53616,65.79271,74.97685,77.89848,56.46466,72.77365,67.81942,68.87637,69.27292,756.0,655.0,459.0,158.0,671.0,664.0,189.0,515.0,155.0,215.0,515.0,533.0,209.0,596.0,145.0,788.0,376.0,639.0,175.0,0.29,,667.0,188.0,264.0,,358.0,182.0,595.0,545.0,0.14,554.0,616.0,607.0,622.0,179.0,131.0,555.0,186.0,86.0,,668.0,582.0,493.0,742.0,544.0,93.0,471.0,611.0,493.0,0.5,0.39,275.0,578.0,567.0,709.0,641.0,0.1,459.0,689.0,499.0,802.0,628.0,655.0,247.0,459.0,,371.0,475.0,,432.0,409.0,267.0,688.0,374.0,739.0,62.0,196.0,554.0,368.0,121.0,0.59,599.0,536.0,687.0,508.0,144.0,92.0,477.0,677.0,54.0,0.56,629.0,0.39,0.57,401.0,131.0,,595.0,297.0,591.0,382.0
1997,53.7205,58.88284,78.72155,72.1354,58.14911,56.62301,67.12419,72.52419,69.93501,66.00493,70.70299,54.75392,74.94404,70.20071,75.27943,48.86616,68.98514,60.72607,72.4062,64.84185,63.41279,57.90661,68.09368,74.48574,67.03817,74.0763,79.41936,64.57388,64.4111,76.8426,59.25596,69.19773,54.20217,59.96296,69.79873,73.17303,64.96224,71.80233,86.46831,57.90669,67.84593,56.11306,69.74366,56.58993,63.8884,76.05263,71.31215,66.80052,69.35282,71.62535,76.43323,73.02892,65.03541,59.18734,63.65249,56.04241,80.97033,69.33899,56.32804,67.57183,57.42603,75.73472,60.30965,72.38374,64.43141,57.37017,61.44027,69.81667,58.56589,71.2901,67.3027,73.86731,57.7502,69.47259,57.57347,81.98155,71.86822,69.45586,68.10795,79.43446,68.0576,62.07213,71.55956,63.34717,68.15646,73.77668,84.1362,65.02499,66.37331,89.24518,57.17543,63.46013,70.69676,64.16709,71.48059,70.40318,55.76887,69.85657,66.44489,64.62561,70.27529,0.77,0.7,468.0,206.0,672.0,726.0,242.0,557.0,157.0,0.25,522.0,599.0,238.0,618.0,155.0,795.0,0.42,672.0,183.0,336.0,,699.0,184.0,,,403.0,214.0,,579.0,169.0,581.0,652.0,635.0,,233.0,141.0,,228.0,106.0,,673.0,716.0,523.0,796.0,605.0,106.0,532.0,,543.0,508.0,419.0,295.0,573.0,632.0,0.74,686.0,0.1,472.0,,586.0,,594.0,688.0,335.0,461.0,,467.0,497.0,,459.0,467.0,282.0,,407.0,699.0,89.0,198.0,594.0,453.0,139.0,583.0,616.0,547.0,702.0,523.0,172.0,87.0,477.0,705.0,63.0,648.0,646.0,423.0,563.0,488.0,158.0,,633.0,,618.0,462.0
1991,51.2147,60.19853,68.90983,73.81572,54.43017,60.32651,67.90076,68.29178,67.72374,61.89846,69.55295,60.4137,72.02897,62.67383,73.11867,51.52262,69.22185,59.39413,69.40839,63.45948,61.2382,63.49594,70.51699,69.72454,62.52188,80.21741,72.35474,62.93679,66.8238,73.45284,61.73461,66.77397,56.82751,64.71457,68.10921,68.56538,66.27903,70.15261,83.93763,58.51078,63.45911,56.33538,67.15804,56.13258,65.6584,75.16612,66.07411,67.22254,66.49103,71.4633,68.31661,72.80038,60.76695,56.40166,61.76903,58.81795,73.7492,64.96664,53.30859,67.76964,53.68413,71.1141,56.49281,72.65124,64.93951,60.66243,59.40511,69.67165,53.27964,70.23335,65.50076,71.92425,58.89564,70.88514,61.13425,80.39331,67.30833,70.17934,67.90037,73.42455,68.34936,60.89677,69.92336,63.13402,66.69531,68.4803,87.31556,64.75469,65.0008,83.41586,56.58811,60.34316,67.85358,65.34242,67.44089,71.8403,55.23973,76.71603,68.72457,64.0116,65.99078,795.0,721.0,502.0,278.0,675.0,737.0,244.0,578.0,161.0,296.0,535.0,612.0,254.0,624.0,204.0,795.0,443.0,675.0,228.0,369.0,,705.0,206.0,,,432.0,237.0,,604.0,189.0,584.0,0.66,659.0,,264.0,181.0,,251.0,129.0,,691.0,739.0,549.0,806.0,631.0,0.13,572.0,,576.0,531.0,439.0,332.0,595.0,664.0,749.0,717.0,122.0,499.0,,609.0,,602.0,711.0,362.0,473.0,,548.0,519.0,,471.0,506.0,296.0,,448.0,725.0,0.09,213.0,607.0,478.0,172.0,588.0,647.0,0.55,713.0,533.0,184.0,104.0,509.0,717.0,0.1,698.0,0.66,434.0,594.0,499.0,179.0,,681.0,,0.64,504.0
1995,51.87814,59.09894,78.06492,74.16058,55.18068,58.43259,66.61467,72.64928,69.26243,65.54123,68.36002,59.8456,71.89202,67.96054,77.36331,53.21639,68.50634,62.43383,71.57318,66.23617,63.60905,64.19113,71.47394,70.34771,70.7247,73.0203,76.87562,61.91097,65.8381,75.49005,64.52651,67.79562,57.52641,64.07361,69.20738,72.19673,66.79542,73.14098,87.24696,66.52399,65.46983,58.35768,70.56278,53.85081,64.62268,74.66833,67.36948,66.50355,65.64191,71.7733,74.95071,71.66785,65.63437,60.07485,60.08691,59.07698,79.9199,67.60424,60.28021,64.19808,50.0555,68.14993,56.76749,73.66919,67.03195,61.89104,59.93919,69.42499,55.07872,74.20573,68.70968,74.21539,57.27584,69.85156,61.62927,81.08221,72.66975,70.17484,67.93038,77.1838,69.22195,61.48613,77.59848,64.60484,68.46952,72.06194,84.67626,64.76786,64.87203,90.235,58.76728,63.73709,71.18175,66.99621,70.44578,72.19802,56.6642,71.57625,66.12945,64.70772,70.76938,786.0,709.0,476.0,227.0,671.0,731.0,0.24,561.0,159.0,262.0,527.0,604.0,235.0,0.62,0.17,797.0,434.0,671.0,197.0,347.0,,702.0,195.0,,,421.0,223.0,,588.0,182.0,597.0,654.0,635.0,,242.0,144.0,,224.0,112.0,,0.68,723.0,533.0,799.0,619.0,109.0,544.0,,557.0,515.0,426.0,314.0,577.0,642.0,743.0,0.7,96.0,479.0,,594.0,,594.0,701.0,342.0,473.0,,502.0,503.0,,465.0,483.0,295.0,,422.0,708.0,93.0,191.0,597.0,464.0,0.14,583.0,627.0,545.0,704.0,523.0,176.0,92.0,485.0,708.0,75.0,675.0,642.0,428.0,571.0,0.49,159.0,,654.0,,625.0,474.0
